date,open,high,low,close,adjusted_close,volume,ret,log_ret,ret_lag1,ma_5,ma_21,mom_5,mom_21,rsi_14,vol_21,range,range_21,dow,month,is_month_end,is_quarter_end,dow_0,dow_1,dow_2,dow_3,dow_4,ret_x_vol21,y_next_ret,y_next_up
2022-01-14,735.5999755859375,746.5999755859375,728.1699829101562,744.530029296875,720.5819091796875,1313600,0.019792203116521412,0.01959888410716193,-0.016289969097407764,710.9925903320312,744.9348783947173,0.013487227543648617,-0.03269140688849037,29.528774634971697,0.022041941419184884,0.024753860758559742,0.027596278765977315,4,1,0,0,0,0,0,0,1,0.00043625858165097345,-0.03935375648377171,0
2022-01-18,741.030029296875,741.0700073242188,714.239990234375,715.22998046875,692.2243041992188,1178500,-0.03935375648377171,-0.04014905066836327,0.019792203116521412,708.681396484375,743.1019839332217,-0.02322213108287663,-0.06846661808747778,25.93526793053782,0.021327298248481643,0.03751243351440581,0.026467414405529195,1,1,0,0,0,1,0,0,0,-0.0008393093017275174,-0.02294354587346914,0
2022-01-19,736.9400024414062,738.8800048828125,698.7100219726562,698.8200073242188,676.3422241210938,1593200,-0.02294354587346914,-0.02321084547001462,-0.03935375648377171,702.8086181640625,740.7492327008929,-0.037658038559781115,-0.08694846479281615,24.16609444201937,0.021781662984539554,0.05748258849080049,0.02831309880116291,2,1,0,0,0,0,1,0,0,-0.000499748583886228,0.010932850088045676,1
2022-01-20,724.8900146484375,729.97998046875,706.2100219726562,706.4600219726562,683.736572265625,1536500,0.010932850088045676,0.010873518532816817,-0.02294354587346914,695.8963623046875,738.6098661876861,-0.017473564596301894,-0.07429266306079563,27.19184130317258,0.021946736789018005,0.03364657271011688,0.029139251659613508,3,1,0,0,0,0,0,1,0,0.00023994038323613077,-0.016604298744726576,0
2022-01-21,707.2899780273438,721.2000122070312,694.7100219726562,694.72998046875,672.3836059570312,1689600,-0.016604298744726576,-0.016743695322298358,0.010932850088045676,689.0537231445312,734.5398879278274,-0.024192768470105652,-0.08461934197493626,26.21605663917022,0.019792023889079455,0.03812990799173746,0.029773364490488136,4,1,0,0,0,0,0,0,1,-0.0003286326774170404,-0.01052192231298743,0
2022-01-24,666.0499877929688,688.6400146484375,648.6300048828125,687.4199829101562,665.308837890625,2833100,-0.01052192231298743,-0.010577669124796962,-0.016604298744726576,677.9991088867188,729.7145385742188,-0.018717238459105556,-0.0882615012843726,24.88710283117007,0.019422199160255057,0.058203152018137055,0.03151575835300341,0,1,0,0,1,0,0,0,0,-0.00020435887071157342,-0.0565156204990267,0
2022-01-25,652.6400146484375,668.1599731445312,643.8200073242188,648.5700073242188,627.70849609375,2095300,-0.0565156204990267,-0.058175470218401415,-0.01052192231298743,665.095947265625,722.6705467587426,-0.056213620494282246,-0.13140434613103846,22.7534756652785,0.021778000635629895,0.037528663899724556,0.03261120218875118,1,1,0,0,0,1,0,0,0,-0.0012307972191508212,0.007231454781505553,1
2022-01-26,661.6300048828125,679.3800048828125,644.6599731445312,653.260009765625,632.2477416992188,1376700,0.007231454781505553,0.007205433186394217,-0.0565156204990267,656.27705078125,715.3809175037202,-0.03661458076802482,-0.11620826579298449,28.088474984822525,0.021537172267704595,0.05314887061698146,0.034013579203771384,2,1,0,0,0,0,1,0,0,0.00015574508737540118,-0.028472845219600362,0
2022-01-27,664.7999877929688,665.0,631.4000244140625,634.6599731445312,614.245849609375,1465300,-0.028472845219600362,-0.02888605916011322,0.007231454781505553,642.37890625,707.5409923735119,-0.043795112770524613,-0.13185828633217378,19.705729345596254,0.02190155306951297,0.05294169635349884,0.03569379475082042,3,1,0,0,0,0,0,1,0,-0.000623599530617106,0.016245050082453805,1
2022-01-28,633.5999755859375,644.97998046875,620.6699829101562,644.969970703125,624.2243041992188,1339700,0.016245050082453805,0.016114511100448148,-0.028472845219600362,632.7470458984375,700.3048211960565,-0.013469429457576232,-0.10863914497532545,24.193085422025447,0.022650700520661496,0.03769167350860039,0.03684499328659442,4,1,0,0,0,0,0,0,1,0.00036796176436080846,0.04997139516221849,1
